price,brand,year,title_status,mileage,state
11200,chevrolet,2017,clean vehicle,79965,pennsylvania
27002,ford,2019,clean vehicle,16059,michigan
13200,chevrolet,2017,clean vehicle,62739,pennsylvania
28214,ford,2019,clean vehicle,15569,michigan
12700,chevrolet,2017,clean vehicle,58932,pennsylvania
29900,ford,2019,clean vehicle,17488,michigan
12700,chevrolet,2017,clean vehicle,60733,pennsylvania
27202,ford,2019,clean vehicle,18550,michigan
13500,chevrolet,2018,clean vehicle,53194,new jersey
27705,ford,2019,clean vehicle,17644,michigan
14700,chevrolet,2016,clean vehicle,34454,pennsylvania
29900,ford,2019,clean vehicle,17684,michigan
